တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ပါဖက္,22.564929,95.698254,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရႊဘိုျမို့,ဓာတ္အားခြဲရံု,၂၃၀ေကဗြီ,22.615338,95.737217,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,ျမိဳ႕နယ္လ်ွပ္စစ္အင္ဂ်င္နီယာရံုး,ေရဦးလွ်ပ္စစ္ရံုး,22.76602,95.427737,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ရတနာပံု,22.763846,95.428668,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ျပည့္စံု,22.763121,95.428921,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္ေက်ာ္မိုး,22.763555,95.4256,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ကိုထိုက္,22.765532,95.426999,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,နယူးအဲနဂ်ီ,22.7671289,95.421031,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ေရဦးျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,လ၀န္းသစ္,22.764268,95.429043,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မိုးေကာင္းကင္,23.321204,95.522526,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,၁ရာစု,23.321263,95.525581,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္ခ်မ္းမိုး,23.318533,95.570057,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စပယ္,22.286877,95.449515,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စင္ကာပူ,22.282127,95.445084,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,လင္းသစ္စာ,22.285686,95.449459,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,ကၽြန္းလွျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,သစ္ဆန္း,22.285843,95.44764,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အလင္းသစ္,22.117901,95.149526,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္မိသားစု,22.126406,95.134805,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေအာင္ေကာင္းျမတ္,22.129685,95.160267,,,,,,,
